word,bank,wlen
ABSOLUTION,A,10
ABSOLUTISM,A,10
ABSOLUTIST,A,10
ABSOLVE,A,7
ABSORB,A,6
ABSORBABLE,A,10
ABSORBANCE,A,10
ABSORBENT,A,9
ABSORBER,A,8
ABSORPTION,A,10
ABSORPTIVE,A,10
ABSORPTIVITY,A,12
ABSTAIN,A,7
ABSTEMIOUS,A,10
ABSTENTION,A,10
ABSTINENCE,A,10
ABSTINENT,A,9
ABSTRACT,A,8
ABSTRACTEDLY,A,12
ABSTRACTION,A,11
ABSTRACTLY,A,10
ABSTRACTNESS,A,12
ABSTRUSE,A,8
ABSURD,A,6
ABSURDITY,A,9
ABSURDLY,A,8
ABUNDANCE,A,9
ABUNDANT,A,8
ABUNDANTLY,A,10
ABUSE,A,5
ABUSER,A,6
ABUSIVE,A,7
ABUT,A,4
ABUTMENT,A,8
ABYSMAL,A,7
ABYSS,A,5
ABYSSAL,A,7
ACACIA,A,6
ACADEME,A,7
ACADEMIA,A,8
ACADEMIC,A,8
ACADEMICAL,A,10
ACADEMICALLY,A,12
ACADEMICIAN,A,11
ACADEMY,A,7
ACANTHUS,A,8
ACCEDE,A,6
ACCELERATE,A,10
ACCELERATION,A,12
ACCELERATOR,A,11
ACCELEROMETER,A,13
ACCENT,A,6
ACCENTING,A,9
ACCENTUAL,A,9
ACCENTUATE,A,10
ACCENTUATION,A,12
ACCEPT,A,6
ACCEPTABILITY,A,13
ACCEPTABLE,A,10
ACCEPTABLY,A,10
ACCEPTANCE,A,10
ACCEPTATION,A,11
ACCEPTOR,A,8
ACCESS,A,6
ACCESSARY,A,9
ACCESSIBILITY,A,13
ACCESSIBLE,A,10
ACCESSION,A,9
ACCESSORY,A,9
ACCIDENT,A,8
ACCIDENTAL,A,10
ACCIDENTALLY,A,12
ACCIDENTLY,A,10
ACCLAIM,A,7
ACCLAMATION,A,11
ACCLIMATION,A,11
ACCLIMATIZATION,A,15
ACCOLADE,A,8
ACCOMMODATE,A,11
ACCOMMODATION,A,13
ACCOMMODATIVE,A,13
ACCOMPANIMENT,A,13
ACCOMPANIST,A,11
ACCOMPANY,A,9
ACCOMPLICE,A,10
ACCOMPLISH,A,10
ACCOMPLISHMENT,A,14
ACCORD,A,6
ACCORDANCE,A,10
ACCORDANT,A,9
ACCORDINGLY,A,11
ACCORDION,A,9
ACCOST,A,6
ACCOUNT,A,7
ACCOUNTABILITY,A,14
ACCOUNTABLE,A,11
ACCOUNTANCY,A,11
ACCOUNTANT,A,10
ACCOUNTING,A,10
ACCREDIT,A,8
ACCREDITATION,A,13
ACCRETION,A,9
ACCRUAL,A,7
ACCRUE,A,6
ACCULTURATION,A,13
ACCUMULATE,A,10
ACCUMULATION,A,12
ACCUMULATIVE,A,12
ACCUMULATOR,A,11
ACCURACY,A,8
ACCURATE,A,8
ACCURATELY,A,10
ACCUSATION,A,10
ACCUSATIVE,A,10
ACCUSATORY,A,10
ACCUSE,A,6
ACCUSED,A,7
ACCUSER,A,7
ACCUSINGLY,A,10
ACCUSTOM,A,8
ACELLULAR,A,9
ACERBIC,A,7
ACETABULAR,A,10
ACETABULUM,A,10
ACETAL,A,6
ACETALDEHYDE,A,12
ACETAMINOPHEN,A,13
ACETATE,A,7
ACETAZOLAMIDE,A,13
ACETIC,A,6
ACETONE,A,7
ACETONITRILE,A,12
ACETYL,A,6
ACETYLATION,A,11
ACETYLCHOLINE,A,13
ACETYLENE,A,9
ACHALASIA,A,9
ACHE,A,4
ACHIEVABLE,A,10
ACHIEVE,A,7
ACHIEVEMENT,A,11
ACHIEVER,A,8
ACHILLEA,A,8
ACHING,A,6
ACHLORHYDRIA,A,12
ACHONDROPLASIA,A,14
ACHROMATIC,A,10
ACICULAR,A,8
ACID,A,4
ACIDEMIA,A,8
ACIDIC,A,6
ACIDIFICATION,A,13
ACIDIFY,A,7
ACIDITY,A,7
ACIDLY,A,6
ACIDOSIS,A,8
ACINAR,A,6
ACKNOWLEDGE,A,11
ACKNOWLEDGEMENT,A,15
ACKNOWLEDGMENT,A,14
ACME,A,4
ACNE,A,4
ACOLYTE,A,7
ACONITE,A,7
ACORN,A,5
ACOUSTIC,A,8
ACOUSTICAL,A,10
ACOUSTICALLY,A,12
ACQUAINT,A,8
ACQUAINTANCE,A,12
ACQUIESCE,A,9
ACQUIESCENCE,A,12
ACQUIESCENT,A,11
ACQUIRE,A,7
ACQUIREMENT,A,11
ACQUIRER,A,8
ACQUIRING,A,9
ACQUISITION,A,11
ACQUISITIVE,A,11
ACQUISITIVENESS,A,15
ACQUIT,A,6
ACQUITTAL,A,9
ACRE,A,4
ACREAGE,A,7
ACRID,A,5
ACRIDINE,A,8
ACRIMONIOUS,A,11
ACRIMONY,A,8
ACROBAT,A,7
ACROBATIC,A,9
ACROBATICS,A,10
ACROLEIN,A,8
ACROMEGALY,A,10
ACROMION,A,8
ACRONYM,A,7
ACROPOLIS,A,9
ACROSOME,A,8
ACROSS,A,6
ACROSTIC,A,8
ACRYLAMIDE,A,10
ACRYLATE,A,8
ACRYLIC,A,7
ACRYLONITRILE,A,13
ACTING,A,6
ACTINIC,A,7
ACTINIUM,A,8
ACTINOLITE,A,10
ACTINOMYCES,A,11
ACTINOMYCIN,A,11
ACTINOMYCOSIS,A,13
ACTION,A,6
ACTIONABLE,A,10
ACTIVATE,A,8
ACTIVATING,A,10
ACTIVATION,A,10
ACTIVATOR,A,9
ACTIVE,A,6
ACTIVELY,A,8
ACTIVISM,A,8
ACTIVIST,A,8
ACTIVITY,A,8
ACTOMYOSIN,A,10
ACTOR,A,5
ACTRESS,A,7
ACTUAL,A,6
ACTUALITY,A,9
ACTUALIZATION,A,13
ACTUALIZE,A,9
ACTUALLY,A,8
ACTUARIAL,A,9
ACTUARIALLY,A,11
ACTUARY,A,7
ACTUATE,A,7
ACTUATION,A,9
ACTUATOR,A,8
ACUITY,A,6
ACUMEN,A,6
ACUMINATE,A,9
ACUPRESSURE,A,11
ACUPUNCTURE,A,11
ACUTE,A,5
ACUTELY,A,7
ACUTENESS,A,9
ACYCLIC,A,7
ACYCLOVIR,A,9
ACYL,A,4
ACYLATION,A,9
ADAGE,A,5
ADAGIO,A,6
ADAMANT,A,7
ADAMANTINE,A,10
ADAMANTLY,A,9
ADAPT,A,5
ADAPTABILITY,A,12
ADAPTABLE,A,9
ADAPTATION,A,10
ADAPTATIONAL,A,12
ADAPTER,A,7
ADAPTION,A,8
ADAPTIVE,A,8
ADAPTIVELY,A,10
ADAPTIVENESS,A,12
ADAPTOR,A,7
ADDENDUM,A,8
ADDER,A,5
ADDICT,A,6
ADDICTION,A,9
ADDICTIVE,A,9
ADDITION,A,8
ADDITIONAL,A,10
ADDITIONALLY,A,12
ADDITIVE,A,8
ADDITIVITY,A,10
ADDRESS,A,7
ADDRESSABLE,A,11
ADDRESSEE,A,9
ADDUCE,A,6
ADDUCING,A,8
ADDUCT,A,6
ADDUCTION,A,9
ADDUCTOR,A,8
ADENINE,A,7
ADENITIS,A,8
ADENOCARCINOMA,A,14
ADENOHYPOPHYSIS,A,15
ADENOID,A,7
ADENOMA,A,7
ADENOMATOUS,A,11
ADENOSINE,A,9
ADENOVIRAL,A,10
ADENOVIRUS,A,10
ADENYL,A,6
ADEPT,A,5
ADEQUACY,A,8
ADEQUATE,A,8
ADEQUATELY,A,10
ADHERE,A,6
ADHERENCE,A,9
ADHERENT,A,8
ADHESION,A,8
ADHESIVE,A,8
ADHESIVENESS,A,12
ADIABATIC,A,9
ADIABATICALLY,A,13
ADIOS,A,5
ADIPOCYTES,A,10
ADIPOSE,A,7
ADIPOSITY,A,9
ADIT,A,4
ADJACENCY,A,9
ADJACENT,A,8
ADJECTIVAL,A,10
ADJECTIVE,A,9
ADJOIN,A,6
ADJOINT,A,7
ADJOURN,A,7
ADJOURNMENT,A,11
ADJUDGE,A,7
ADJUDICATE,A,10
ADJUDICATION,A,12
ADJUDICATIVE,A,12
ADJUDICATOR,A,11
ADJUDICATORY,A,12
ADJUNCT,A,7
ADJUNCTION,A,10
ADJUNCTIVE,A,10
ADJUST,A,6
ADJUSTABLE,A,10
ADJUSTER,A,8
ADJUSTMENT,A,10
ADJUTANT,A,8
ADJUVANT,A,8
ADMINISTER,A,10
ADMINISTRATION,A,14
ADMINISTRATIVE,A,14
ADMINISTRATOR,A,13
ADMINISTRATRIX,A,14
ADMIRABLE,A,9
ADMIRABLY,A,9
ADMIRAL,A,7
ADMIRALTY,A,9
ADMIRATION,A,10
ADMIRE,A,6
ADMIRER,A,7
ADMIRINGLY,A,10
ADMISSIBILITY,A,13
ADMISSIBLE,A,10
ADMISSION,A,9
ADMIT,A,5
ADMITTANCE,A,10
ADMITTEDLY,A,10
ADMIXTURE,A,9
ADMONISH,A,8
ADMONISHMENT,A,12
ADMONITION,A,10
ADMONITORY,A,10
ADNEXA,A,6
ADNEXAL,A,7
ADOBE,A,5
ADOLESCENCE,A,11
ADOLESCENT,A,10
ADONIS,A,6
ADOPT,A,5
ADOPTEE,A,7
ADOPTER,A,7
ADOPTION,A,8
ADOPTIVE,A,8
ADORABLE,A,8
ADORATION,A,9
ADORE,A,5
ADORN,A,5
ADORNMENT,A,9
ADOWN,A,5
ADRENAL,A,7
ADRENALECTOMY,A,13
ADRENALIN,A,9
ADRENALINE,A,10
ADRENERGIC,A,10
ADRENOCORTICAL,A,14
ADRIFT,A,6
ADROIT,A,6
ADROITLY,A,8
ADROITNESS,A,10
ADSORB,A,6
ADSORBATE,A,9
ADSORBENT,A,9
ADSORPTION,A,10
ADSORPTIVE,A,10
ADULATION,A,9
ADULT,A,5
ADULTERATE,A,10
ADULTERATION,A,12
ADULTERER,A,9
ADULTERESS,A,10
ADULTEROUS,A,10
ADULTERY,A,8
ADULTHOOD,A,9
ADVANCE,A,7
ADVANCEMENT,A,11
ADVANTAGE,A,9
ADVANTAGEOUS,A,12
ADVANTAGEOUSLY,A,14
ADVECTION,A,9
ADVECTIVE,A,9
ADVENT,A,6
ADVENTITIA,A,10
ADVENTITIOUS,A,12
ADVENTURE,A,9
ADVENTURER,A,10
ADVENTURESOME,A,13
ADVENTURESS,A,11
ADVENTURISM,A,11
ADVENTUROUS,A,11
ADVERB,A,6
ADVERBIAL,A,9
ADVERSARIAL,A,11
ADVERSARY,A,9
ADVERSE,A,7
ADVERSELY,A,9
ADVERSITY,A,9
ADVERT,A,6
ADVERTISE,A,9
ADVERTISEMENT,A,13
ADVERTISER,A,10
ADVERTISING,A,11
ADVICE,A,6
ADVISABILITY,A,12
ADVISABLE,A,9
ADVISE,A,6
ADVISEDLY,A,9
ADVISEMENT,A,10
ADVISER,A,7
ADVISOR,A,7
ADVISORY,A,8
ADVOCACY,A,8
ADVOCATE,A,8
ADVOWSON,A,8
ADZE,A,4
AEDES,A,5
AEGIS,A,5
AEOLIAN,A,7
AEON,A,4
AERATION,A,8
AERIAL,A,6
AERO,A,4
AEROBIC,A,7
AEROBICALLY,A,11
AEROBICS,A,8
AERODROME,A,9
AERODYNAMIC,A,11
AERODYNAMICS,A,12
AEROFOIL,A,8
AERONAUT,A,8
AERONAUTICAL,A,12
AERONAUTICS,A,11
AEROPLANE,A,9
AEROSOL,A,7
AEROSPACE,A,9
AESTHETE,A,8
AESTHETIC,A,9
AESTHETICAL,A,11
AESTHETICALLY,A,13
AESTHETICISM,A,12
AETHER,A,6
AETIOLOGY,A,9
AFAR,A,4
AFFABILITY,A,10
AFFABLE,A,7
AFFABLY,A,7
AFFAIR,A,6
AFFAIRE,A,7
AFFECT,A,6
AFFECTATION,A,11
AFFECTION,A,9
AFFECTIONAL,A,11
AFFECTIONATE,A,12
AFFECTIONATELY,A,14
AFFECTIVE,A,9
AFFECTIVELY,A,11
AFFECTIVITY,A,11
AFFERENT,A,8
AFFIANT,A,7
AFFIDAVIT,A,9
AFFILIATE,A,9
AFFILIATION,A,11
AFFINAL,A,7
AFFINE,A,6
AFFINITY,A,8
AFFIRM,A,6
AFFIRMANCE,A,10
AFFIRMATION,A,11
AFFIRMATIVE,A,11
AFFIRMATIVELY,A,13
AFFIRMED,A,8
AFFIX,A,5
AFFLICT,A,7
AFFLICTION,A,10
AFFLICTIVE,A,10
AFFLUENCE,A,9
AFFLUENT,A,8
AFFORD,A,6
AFFORDABILITY,A,13
AFFORDABLE,A,10
AFFORDABLY,A,10
AFFORESTATION,A,13
AFFRAY,A,6
AFFRIGHT,A,8
AFFRONT,A,7
AFGHANI,A,7
AFIELD,A,6
AFIRE,A,5
AFLAME,A,6
AFLATOXIN,A,9
AFLOAT,A,6
AFOOT,A,5
AFORE,A,5
AFOREMENTIONED,A,14
AFORESAID,A,9
AFORETHOUGHT,A,12
AFORETIME,A,9
AFOUL,A,5
AFRAID,A,6
AFRESH,A,6
AFTER,A,5
AFTERBIRTH,A,10
AFTERCARE,A,9
AFTERGLOW,A,9
AFTERIMAGE,A,10
AFTERLIFE,A,9
AFTERMARKET,A,11
AFTERMATH,A,9
AFTERNOON,A,9
AFTERSHAVE,A,10
AFTERTASTE,A,10
AFTERTHOUGHT,A,12
AFTERWARD,A,9
AFTERWARDS,A,10
AFTERWORD,A,9
AGAIN,A,5
AGAINST,A,7
AGAMA,A,5
AGAPE,A,5
AGAR,A,4
AGAROSE,A,7
AGATE,A,5
AGAVE,A,5
AGED,A,4
AGEE,A,4
AGEING,A,6
AGEISM,A,6
AGELESS,A,7
AGENCY,A,6
AGENDA,A,6
AGENESIS,A,8
AGENT,A,5
AGENTIVE,A,8
AGER,A,4
AGERS,A,5
AGGER,A,5
AGGIE,A,5
AGGLOMERATE,A,11
AGGLOMERATION,A,13
AGGLUTINATE,A,11
AGGLUTINATION,A,13
AGGLUTININ,A,10
AGGRADATION,A,11
AGGRANDIZE,A,10
AGGRANDIZEMENT,A,14
AGGRAVATE,A,9
AGGRAVATION,A,11
AGGREGATE,A,9
AGGREGATION,A,11
AGGREGATIVE,A,11
AGGRESSION,A,10
AGGRESSIVE,A,10
AGGRESSIVELY,A,12
AGGRESSIVENESS,A,14
AGGRESSOR,A,9
AGHA,A,4
AGHAST,A,6
AGILE,A,5
AGILITY,A,7
AGIN,A,4
AGING,A,5
AGITATE,A,7
AGITATION,A,9
AGITATOR,A,8
AGLOW,A,5
AGNATIC,A,7
AGNOSIA,A,7
AGNOSTIC,A,8
AGNOSTICISM,A,11
AGOG,A,4
AGON,A,4
AGONIST,A,7
AGONISTES,A,9
AGONISTIC,A,9
AGONIZE,A,7
AGONIZINGLY,A,11
AGONY,A,5
AGORA,A,5
AGORAPHOBIA,A,11
AGOUTI,A,6
AGRANULOCYTOSIS,A,15
AGRARIAN,A,8
AGRARIANISM,A,11
AGRARIANS,A,9
AGREE,A,5
AGREEABLE,A,9
AGREEABLENESS,A,13
AGREEABLY,A,9
AGREEMENT,A,9
AGRIBUSINESS,A,12
AGRICULTURAL,A,12
AGRICULTURALIST,A,15
AGRICULTURALLY,A,14
AGRICULTURE,A,11
AGRICULTURIST,A,13
AGROFORESTRY,A,12
AGRONOMIC,A,9
AGRONOMIST,A,10
AGRONOMY,A,8
AGROUND,A,7
AGUE,A,4
AHEAD,A,5
AHEM,A,4
AHIMSA,A,6
AHISTORICAL,A,11
AHOLD,A,5
AHOY,A,4
AIDE,A,4
AIDER,A,5
AIKIDO,A,6
AILERON,A,7
AILMENT,A,7
AIMER,A,5
AIMLESS,A,7
AIMLESSLY,A,9
AIMLESSNESS,A,11
AIRBORNE,A,8
AIRBRUSH,A,8
AIRBUS,A,6
AIRCRAFT,A,8
AIRCREW,A,7
AIRFARE,A,7
AIRFIELD,A,8
AIRFLOW,A,7
AIRFOIL,A,7
AIRFRAME,A,8
AIRILY,A,6
AIRING,A,6
AIRLESS,A,7
AIRLIFT,A,7
AIRLINE,A,7
AIRLINER,A,8
AIRMAIL,A,7
AIRMAN,A,6
AIRPLANE,A,8
AIRPORT,A,7
AIRPOWER,A,8
AIRSHIP,A,7
AIRSPACE,A,8
AIRSPEED,A,8
AIRSTREAM,A,9
AIRSTRIP,A,8
AIRTIGHT,A,8
AIRTIME,A,7
AIRWAY,A,6
AIRWORTHINESS,A,13
AIRY,A,4
AISLE,A,5
AISLED,A,6
AJAR,A,4
AKIMBO,A,6
AKIN,A,4
ALABASTER,A,9
ALACK,A,5
ALACRITY,A,8
ALAMEDA,A,7
ALAN,A,4
ALAND,A,5
ALANINE,A,7
ALAR,A,4
ALARM,A,5
ALARMINGLY,A,10
ALARMIST,A,8
ALARUM,A,6
ALBA,A,4
ALBACORE,A,8
ALBATROSS,A,9
ALBEDO,A,6
ALBEIT,A,6
ALBINISM,A,8
ALBINO,A,6
ALBITE,A,6
ALBUM,A,5
ALBUMEN,A,7
ALBUMIN,A,7
ALBUMINOUS,A,10
ALBUMINURIA,A,11
ALBUTEROL,A,9
ALCALDE,A,7
ALCAZAR,A,7
ALCHEMICAL,A,10
ALCHEMIST,A,9
ALCHEMY,A,7
ALCOHOL,A,7
ALCOHOLIC,A,9
ALCOHOLISM,A,10
ALCOVE,A,6
ALDEHYDE,A,8
ALDERMAN,A,8
ALDOLASE,A,8
ALDOSTERONE,A,11
ALDOSTERONISM,A,13
ALDRIN,A,6
ALEHOUSE,A,8
ALEMBIC,A,7
ALENCON,A,7
ALEPH,A,5
ALERT,A,5
ALERTING,A,8
ALERTLY,A,7
ALERTNESS,A,9
ALEURONE,A,8
ALEXANDER,A,9
ALEXANDRINE,A,11
ALEXIA,A,6
ALFA,A,4
ALFALFA,A,7
ALFREDO,A,7
ALGA,A,4
ALGAE,A,5
ALGEBRA,A,7
ALGEBRAIC,A,9
ALGEBRAICALLY,A,13
ALGERINE,A,8
ALGINATE,A,8
ALGORITHM,A,9
ALGORITHMIC,A,11
ALIAS,A,5
ALIASING,A,8
ALIBI,A,5
ALIEN,A,5
ALIENABLE,A,9
ALIENATE,A,8
ALIENATION,A,10
ALIGHT,A,6
ALIGN,A,5
ALIGNMENT,A,9
ALIKE,A,5
ALIMENT,A,7
ALIMENTARY,A,10
ALIMENTATION,A,12
ALIMONY,A,7
ALINE,A,5
ALIPHATIC,A,9
ALIQUOT,A,7
ALIVE,A,5
ALIVENESS,A,9
ALIYA,A,5
ALIYAH,A,6
ALIZARIN,A,8
ALKALINE,A,8
ALKALINITY,A,10
ALKALOID,A,8
ALKALOSIS,A,9
ALKANE,A,6
ALKENE,A,6
ALKYD,A,5
ALKYLATED,A,9
ALKYLATING,A,10
ALKYLATION,A,10
ALLANTOIC,A,9
ALLANTOIS,A,9
ALLEE,A,5
ALLEGATION,A,10
ALLEGE,A,6
ALLEGEDLY,A,9
ALLEGIANCE,A,10
ALLEGORICAL,A,11
ALLEGORICALLY,A,13
ALLEGORY,A,8
ALLEGRETTO,A,10
ALLEGRO,A,7
ALLELE,A,6
ALLELIC,A,7
ALLELUIA,A,8
ALLEMANDE,A,9
ALLERGEN,A,8
ALLERGENIC,A,10
ALLERGIC,A,8
ALLERGY,A,7
ALLEVIATE,A,9
ALLEVIATION,A,11
ALLEY,A,5
ALLEYWAY,A,8
ALLIANCE,A,8
ALLIGATOR,A,9
ALLITERATION,A,12
ALLITERATIVE,A,12
ALLIUM,A,6
ALLOCABLE,A,9
ALLOCATE,A,8
ALLOCATION,A,10
ALLOCATOR,A,9
ALLOGENEIC,A,10
ALLOGRAFT,A,9
ALLOMETRIC,A,10
ALLOPURINOL,A,11
ALLOSTERIC,A,10
ALLOT,A,5
ALLOTMENT,A,9
ALLOTROPIC,A,10
ALLOW,A,5
ALLOWABLE,A,9
ALLOWANCE,A,9
ALLOXAN,A,7
ALLOY,A,5
ALLS,A,4
ALLSPICE,A,8
ALLUDE,A,6
ALLURE,A,6
ALLUREMENT,A,10
ALLUSION,A,8
ALLUSIVE,A,8
ALLUVIAL,A,8
ALLUVIUM,A,8
ALLY,A,4
ALLYL,A,5
ALLYLIC,A,7
ALMAGEST,A,8
ALMANAC,A,7
ALMANACK,A,8
ALMIGHTY,A,8
ALMOND,A,6
ALMONER,A,7
ALMOST,A,6
ALMS,A,4
ALMSGIVING,A,10
ALMSHOUSE,A,9
ALMSHOUSES,A,10
ALOE,A,4
ALOFT,A,5
ALOHA,A,5
ALONE,A,5
ALONENESS,A,9
ALONG,A,5
ALONGSIDE,A,9
ALOOF,A,5
ALOOFNESS,A,9
ALOPECIA,A,8
ALOUD,A,5
ALPACA,A,6
ALPHA,A,5
ALPHABET,A,8
ALPHABETIC,A,10
ALPHABETICAL,A,12
ALPHABETICALLY,A,14
ALPHANUMERIC,A,12
ALREADY,A,7
ALRIGHT,A,7
ALSO,A,4
ALTAR,A,5
ALTARPIECE,A,10
ALTER,A,5
ALTERABLE,A,9
ALTERATION,A,10
ALTERCATION,A,11
ALTERING,A,8
ALTERITY,A,8
ALTERNATE,A,9
ALTERNATELY,A,11
ALTERNATION,A,11
ALTERNATIVE,A,11
ALTERNATIVELY,A,13
ALTERNATOR,A,10
ALTHEA,A,6
ALTHO,A,5
ALTHOUGH,A,8
ALTIMETER,A,9
ALTIPLANO,A,9
ALTITUDE,A,8
ALTITUDINAL,A,11
ALTO,A,4
ALTOGETHER,A,10
ALTRUISM,A,8
ALTRUISTIC,A,10
ALUM,A,4
ALUMINA,A,7
ALUMINATE,A,9
ALUMINIUM,A,9
ALUMINOUS,A,9
ALUMINUM,A,8
ALUMNA,A,6
ALUMNUS,A,7
ALVEOLAR,A,8
ALVEOLUS,A,8
ALWAY,A,5
ALWAYS,A,6
AMAIN,A,5
AMALGAM,A,7
AMALGAMATE,A,10
AMALGAMATION,A,12
AMANITA,A,7
AMANTADINE,A,10
AMANUENSIS,A,10
AMARANTH,A,8
AMARNA,A,6
AMARYLLIS,A,9
AMASS,A,5
AMATEUR,A,7
AMATEURISH,A,10
AMATEURISM,A,10
AMATORY,A,7
AMAUROSIS,A,9
AMAZE,A,5
AMAZEMENT,A,9
AMAZINGLY,A,9
AMAZON,A,6
AMAZONIAN,A,9
AMBASSADOR,A,10
AMBASSADORIAL,A,13
AMBER,A,5
AMBERGRIS,A,9
AMBIANCE,A,8
AMBIENCE,A,8
AMBIENT,A,7
AMBIGUITY,A,9
AMBIGUOUS,A,9
AMBIGUOUSLY,A,11
AMBIT,A,5
AMBITION,A,8
AMBITIOUS,A,9
AMBITIOUSLY,A,11
AMBIVALENCE,A,11
AMBIVALENT,A,10
AMBLE,A,5
AMBLER,A,6
AMBLYOPIA,A,9
AMBO,A,4
AMBOYNA,A,7
AMBROSIA,A,8
AMBROSIAL,A,9
AMBROSIAN,A,9
AMBULACRAL,A,10
AMBULANCE,A,9
AMBULATION,A,10
AMBULATORY,A,10
AMBUSCADE,A,9
AMBUSH,A,6
AMEBA,A,5
AMEBIASIS,A,9
AMEBIC,A,6
AMEER,A,5
AMELIORATE,A,10
AMELIORATION,A,12
AMELIORATIVE,A,12
AMENABLE,A,8
AMEND,A,5
AMENDATORY,A,10
AMENDMENT,A,9
AMENDS,A,6
AMENITY,A,7
AMENORRHEA,A,10
AMETHYST,A,8
AMIABILITY,A,10
AMIABLE,A,7
AMIABLY,A,7
AMICABLE,A,8
AMICABLY,A,8
AMICI,A,5
AMICUS,A,6
AMID,A,4
AMIDE,A,5
AMIDO,A,5
AMIDSHIPS,A,9
AMIDST,A,6
AMIE,A,4
AMIGA,A,5
AMIGO,A,5
AMIN,A,4
AMINO,A,5
AMINOPEPTIDASE,A,14
AMINOPHYLLINE,A,13
AMIR,A,4
AMIS,A,4
AMISS,A,5
AMITRIPTYLINE,A,13
AMMETER,A,7
AMMO,A,4
AMMONIA,A,7
AMMONIAC,A,8
AMMONIACAL,A,10
AMMONITE,A,8
AMMONIUM,A,8
AMMUNITION,A,10
AMNESIA,A,7
AMNESIC,A,7
AMNESTY,A,7
AMNIOCENTESIS,A,13
AMNION,A,6
AMNIOTIC,A,8
AMOEBA,A,6
AMOEBIC,A,7
AMOEBOID,A,8
AMOK,A,4
AMONG,A,5
AMONGST,A,7
AMORAL,A,6
AMOROUS,A,7
AMORPHOUS,A,9
AMORTIZATION,A,12
AMORTIZE,A,8
AMOUNT,A,6
AMOXICILLIN,A,11
AMPERAGE,A,8
AMPERE,A,6
AMPEROMETRIC,A,12
AMPERSAND,A,9
AMPHETAMINE,A,11
AMPHIBIA,A,8
AMPHIBIAN,A,9
AMPHIBIOUS,A,10
AMPHIBOLE,A,9
AMPHIBOLITE,A,11
AMPHIOXUS,A,9
AMPHIPHILIC,A,11
AMPHITHEATER,A,12
AMPHORA,A,7
AMPHOTERIC,A,10
AMPICILLIN,A,10
AMPLE,A,5
AMPLIFICATION,A,13
AMPLIFIER,A,9
AMPLIFY,A,7
AMPLITUDE,A,9
AMPLY,A,5
AMPOULE,A,7
AMPULLA,A,7
AMPUTATE,A,8
AMPUTATION,A,10
AMPUTEE,A,7
AMRITA,A,6
AMUCK,A,5
AMULET,A,6
AMUSE,A,5
AMUSEMENT,A,9
AMUSINGLY,A,9
AMYGDALA,A,8
AMYGDALOID,A,10
AMYL,A,4
AMYLASE,A,7
AMYLOID,A,7
AMYLOIDOSIS,A,11
AMYLOPECTIN,A,11
AMYLOSE,A,7
ANABAENA,A,8
ANABAPTISM,A,10
ANABASIS,A,8
ANABOLIC,A,8
ANABOLISM,A,9
ANACHRONISM,A,11
ANACHRONISTIC,A,13
ANACONDA,A,8
ANADROMOUS,A,10
ANAEMIA,A,7
ANAEMIC,A,7
